Date,Time,CminusO,DCminusDO,DOminusYC
1130109,920,-4,52,-20
1130109,925,-3,52,-20
1130109,930,10,52,-20
1130109,935,2,52,-20
1130109,940,1,52,-20
1130109,945,5,52,-20
1130109,950,8,52,-20
1130109,955,-2,52,-20
1130109,1000,8,52,-20
1130109,1005,14,52,-20
1130109,1010,2,52,-20
1130109,1015,0,52,-20
1130109,1020,-1,52,-20
1130109,1025,-3,52,-20
1130109,1030,4,52,-20
1130109,1035,-8,52,-20
1130109,1040,4,52,-20
1130109,1045,4,52,-20
1130109,1050,3,52,-20
1130109,1055,-4,52,-20
1130109,1100,0,52,-20
1130109,1105,-3,52,-20
1130109,1110,-1,52,-20
1130109,1115,-7,52,-20
1130109,1120,-4,52,-20
1130109,1125,-7,52,-20
1130109,1130,-3,52,-20
1130109,1135,1,52,-20
1130109,1140,3,52,-20
1130109,1145,-5,52,-20
1130109,1150,8,52,-20
1130109,1155,-1,52,-20
1130109,1200,0,52,-20
1130109,1205,6,52,-20
1130109,1210,-5,52,-20
1130109,1215,2,52,-20
1130109,1220,1,52,-20
1130109,1225,-3,52,-20
1130109,1230,0,52,-20
1130109,1235,-3,52,-20
1130109,1240,8,52,-20
1130109,1245,1,52,-20
1130109,1250,0,52,-20
1130109,1255,1,52,-20
1130109,1300,2,52,-20
1130109,1305,-5,52,-20
1130109,1310,5,52,-20
1130109,1315,-1,52,-20
1130109,1320,1,52,-20
1130109,1325,4,52,-20
1130109,1330,-3,52,-20
1130109,1335,-9,52,-20
1130109,1340,-1,52,-20
1130109,1345,1,52,-20
1130110,850,14,74,24
1130110,855,6,74,24
1130110,900,8,74,24
1130110,905,-11,74,24
1130110,910,34,74,24
1130110,915,-32,74,24
1130110,920,-9,74,24
1130110,925,-4,74,24
1130110,930,10,74,24
1130110,935,-6,74,24
1130110,940,0,74,24
1130110,945,5,74,24
1130110,950,3,74,24
1130110,955,-4,74,24
1130110,1000,-2,74,24
1130110,1005,7,74,24
1130110,1010,10,74,24
1130110,1015,6,74,24
1130110,1020,-3,74,24
1130110,1025,6,74,24
1130110,1030,25,74,24
1130110,1035,0,74,24
1130110,1040,-2,74,24
1130110,1045,4,74,24
1130110,1050,-1,74,24
1130110,1055,-5,74,24
1130110,1100,6,74,24
1130110,1105,3,74,24
1130110,1110,-2,74,24
1130110,1115,4,74,24
1130110,1120,-10,74,24
1130110,1125,11,74,24
1130110,1130,1,74,24
1130110,1135,4,74,24
1130110,1140,-7,74,24
1130110,1145,2,74,24
1130110,1150,-4,74,24
1130110,1155,1,74,24
1130110,1200,-1,74,24
1130110,1205,-1,74,24
1130110,1210,0,74,24
1130110,1215,-4,74,24
1130110,1220,4,74,24
1130110,1225,-1,74,24
1130110,1230,3,74,24
1130110,1235,3,74,24
1130110,1240,-1,74,24
1130110,1245,-4,74,24
1130110,1250,-9,74,24
1130110,1255,2,74,24
1130110,1300,-6,74,24
1130110,1305,2,74,24
1130110,1310,-2,74,24
1130110,1315,-5,74,24
1130110,1320,7,74,24
1130110,1325,2,74,24
1130110,1330,6,74,24
1130110,1335,6,74,24
1130110,1340,-3,74,24
1130110,1345,6,74,24
1130111,850,-9,-64,27
1130111,855,-1,-64,27
1130111,900,2,-64,27
1130111,905,-15,-64,27
1130111,910,2,-64,27
1130111,915,-5,-64,27
1130111,920,-11,-64,27
